ID,曲名,作曲者,音響的な特徴,ダンスに適しているか,エネルギーの強さ,インストゥルメンタルか,キー,ライブ録音か,音量,モード,音声の存在,テンポ（BPM）,拍子記号,再生時間（ms）,ポジティブさ
4AV1tQ3ptLOwreYhVUd1s9,かくれんぼ(Acoustic ver.),Yuuri,0.896,0.698,0.28,0,9,0.133,-7.451,1,0.0473,77.982,4,273133,0.445
76XAwMxmnJexw1NJXOyjsg,あるいは映画のような,yama,0.0194,0.556,0.942,0,2,0.0385,-4.486,1,0.0676,160.008,4,241330,0.734
5CRQuINnKZ5ElgKpgwETCX,どうせ、愛だ feat. クリープハイプ,空音,0.0717,0.713,0.867,2.01e-06,7,0.207,-4.324,1,0.0715,90.003,4,234800,0.819
006u4CXVO2cusq08RrMElQ,10月無口な君を忘れる,あたらよ,0.0429,0.262,0.47,0,5,0.236,-4.663,1,0.0433,75.096,4,332286,0.307
1qET0loc92ZLHJ2Jb6fh3V,コドモノママデ,mihoro*,0.00208,0.477,0.837,0.00558,0,0.095,-4.102,1,0.0554,204.041,4,237059,0.812
19fhOFi6pNGeZe5uiFlm7c,優しい彗星,YOASOBI,0.197,0.715,0.722,0,5,0.114,-4.62,1,0.0348,89.995,4,215333,0.522
5R3XD7aR25OcI6qimQU91Z,ラブカ?,柊キライ,0.444,0.79,0.73,0,2,0.0633,-4.695,1,0.286,135.046,4,185236,0.643
6IP3GvRj6Rc65rly1rIHq5,レディメイド,Ado,0.0291,0.659,0.876,0,5,0.252,-1.779,0,0.0626,97.535,4,244378,0.591
3rWyLf6o3RMbUeK4aafkHd,p.h.,水槽,0.0643,0.715,0.852,1.17e-06,11,0.0623,-9.763,0,0.051,132.036,4,152930,0.965
6IO5nn84TKArsi3cjpIqaD,Mela!,Ryokuoushoku Shakai,0.0439,0.619,0.941,1.73e-05,8,0.318,-1.618,1,0.0584,137.967,4,242067,0.624
0zqDuJHtBs5229QY0XnJwW,彗星と街,Mel,0.228,0.606,0.58,0,6,0.137,-7.331,1,0.216,75.968,4,200727,0.798
1SfHLej6q3Wtb4k9NrDKAa,ふたりなら,Sui,0.222,0.663,0.964,3.32e-06,0,0.613,-3.789,1,0.0378,114.981,4,158135,0.864
4fL7TyLxgi6witWNFCbFsH,君の映画のエンドロールに,Sui,0.271,0.658,0.898,0,7,0.295,-4.57,1,0.0379,120.012,4,172267,0.966
7z6qHGEKxRtwtYym2epV7l,踊,Ado,0.15,0.707,0.965,1.38e-06,1,0.726,-0.736,1,0.105,128.003,4,208271,0.777
3uK2DpFeiiN488nhe1d6Oj,hazama,4na,0.48,0.747,0.87,1.85e-05,5,0.392,-6.099,1,0.0456,99.988,4,212995,0.833
3ROjXRCm8LZYHgNUYCelc4,minority,sloppy dim,0.47,0.832,0.385,0,0,0.124,-8.899,1,0.0799,99.929,4,147371,0.904
3RBae3FyAQbpevUMDK4Jvr,そよ風,SHISE,0.811,0.758,0.365,0.000909,6,0.12,-8.198,1,0.0704,77.058,4,190909,0.496
5hVAQTNarrb3lmWqg9Ens4,Answer,Lilas Ikuta,0.512,0.622,0.475,0,0,0.127,-6.199,1,0.036,79.954,4,246000,0.388
3FRU8JI3EK9G7hXSP3P4R8,脳裏上のクラッカー,ZUTOMAYO,0.119,0.729,0.886,1.93e-05,10,0.384,-2.852,0,0.079,128.063,4,270000,0.757
0u689cua3viCUxYRukRbtm,Be You,Novel Core,0.407,0.726,0.517,0.000117,11,0.0678,-5.845,1,0.0386,159.951,4,233893,0.602
2ThP4ATmcbHXFbSjg5eHoT,東京の冬,A夏目,0.0491,0.496,0.832,0,6,0.169,-6.603,0,0.0445,90.378,4,188870,0.387
3kbJ7RL0v0Qm6GQ9hbac3i,benefits,Vaundy,0.0565,0.479,0.487,0.000116,0,0.0782,-9.181,1,0.0335,179.943,4,246000,0.52
3WtIXrla0ovC9MOIY78Vr8,又三郎,ヨルシカ,0.00308,0.472,0.919,0.000492,4,0.212,-3.513,0,0.149,199.972,4,227732,0.548
3sgJTMHqDwxfsBIMqvkXKE,お勉強しといてよ,ZUTOMAYO,0.0841,0.698,0.875,2.5e-05,8,0.177,-3.318,1,0.0592,132.031,4,279200,0.868
2VIK6jaaKghS4QPHr6sAkv,あいつら全員同窓会,ZUTOMAYO,0.453,0.724,0.913,0,2,0.052,-2.836,0,0.118,130.968,4,254507,0.913
1LFDJayKmDC8eGnDHWbLjv,Presence I,STUTS,0.469,0.607,0.654,0.00047,2,0.085,-5.915,1,0.0962,93.473,4,250509,0.294
5wosJVYKzl3g7XElM98m23,分かってないよ,WurtS,0.000219,0.429,0.919,0.000143,2,0.347,-4.087,1,0.0681,149.971,4,209038,0.527
0u7pLZRiLAFLYsfdI4NfZ2,OH MY GO!!!,BLOOM VASE,0.286,0.813,0.734,0,1,0.0725,-3.124,1,0.0544,113.978,4,182111,0.665
2pXmohBUnD5Li93sgpbPSg,もう少しだけ,YOASOBI,0.12,0.675,0.746,0,8,0.121,-5.531,1,0.0288,99.99,4,220201,0.533
59bPgyrdKgjWkcjxcYoaox,夜のピエロ,Ado,0.0615,0.663,0.819,0,3,0.295,-2.325,1,0.174,119.951,4,200713,0.658
14JDDeW8C0cF7jL1MsCATZ,ニゲラ,和ぬか,0.0712,0.677,0.882,1.26e-05,8,0.0436,-3.649,1,0.0397,99.994,4,189279,0.948
2vjH6qrmEcwrvEQ5WGipUM,NO WAY,DONGURIZU,0.301,0.866,0.855,0.000887,0,0.0734,-7.512,1,0.142,130.101,4,183000,0.718
7hjZPeA13HBpkkQw9Hzrqe,桜の森,Gen Hoshino,0.257,0.87,0.63,5.84e-06,7,0.141,-5.767,1,0.047,122.024,4,310333,0.926
7vBX6cVsCPFSx2C58hpZ4f,Cry Baby,OFFICIAL HIGE DANDISM,0.0116,0.318,0.902,0,1,0.393,-4.605,1,0.131,199.844,4,240285,0.437
6skNbV22epX2yHu4O2hYSx,題名のない今日,HIRAIDAI,0.2,0.707,0.479,0,11,0.384,-6.088,1,0.0328,87.012,4,193709,0.633
18gB0d6DaRPvrQBbl7WEuk,Tokimeki,Vaundy,0.00105,0.657,0.697,0.0225,5,0.286,-7.392,1,0.0297,120.028,4,212000,0.915
4CIMsJOcUCP6aHvH5isJJ9,Explain,TEN's UNIQUE,0.617,0.802,0.579,2.62e-06,5,0.0757,-5.906,0,0.0729,80.016,4,228000,0.939
4IRYZdr8MA1z2yq87NtYeP,ロマンスの約束,Lilas Ikuta,0.155,0.627,0.674,0,1,0.099,-6.183,1,0.0394,93.004,4,223871,0.531
6wffxmLgeZTbvS1hYvLkht,Tattoo,OFFICIAL HIGE DANDISM,0.0114,0.481,0.901,0,0,0.314,-5.629,1,0.163,194.084,4,288100,0.817
7AMGgAPFczs3wJgMqu6Eqi,Matsuri,Fujii Kaze,0.00892,0.663,0.731,0.0502,1,0.293,-7.335,1,0.0338,97.025,4,225920,0.356
4O8Dy9kthy651s3M774S1h,KIMINOMAMA,MUKADE,0.435,0.836,0.771,0,7,0.172,-4.441,1,0.106,123.977,4,177581,0.664
2VBLFxCUyFp5BfmsZpxcis,絆ノ奇跡,MAN WITH A MISSION,0.0046,0.436,0.951,0,7,0.149,-4.748,0,0.202,169.955,4,223320,0.428
6yS6Q8iSiXqvqfjfJ67RRg,花一匁,ZUTOMAYO,0.194,0.657,0.977,2.26e-06,2,0.216,-2.212,0,0.0803,127.036,4,250613,0.893
0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,Fujii Kaze,0.166,0.6,0.76,4.09e-05,6,0.189,-6.124,0,0.0452,158.078,4,185573,0.519
59ZJXXQ0VeLtBK5EfW0KLJ,Season,iri,0.236,0.62,0.857,0.0187,6,0.198,-6.576,0,0.162,190.007,4,208133,0.522
7w6NWogvAAFdEhD9MA2uvv,LADY,Kenshi Yonezu,0.28,0.751,0.55,0.000249,2,0.101,-7.101,1,0.0534,90.952,4,207167,0.867
3hD6z4YbJk64kN3v3N47hr,未来図,マルシィ,0.182,0.667,0.554,0,3,0.0847,-6.898,1,0.0404,77.983,4,229587,0.654
0NUJhYxwcAAB4UQULseQyX,リンジュー・ラヴ,Macaroni Empitsu,0.246,0.666,0.763,0,11,0.0879,-5.96,1,0.0281,103.01,4,185945,0.663
6O4twzzHHIM6mmTqPpJNYE,Soranji,Mrs. GREEN APPLE,0.0604,0.476,0.661,0,5,0.144,-5.197,1,0.044,156.057,4,341443,0.406
1p24ocb4bvCRId4cquDUHl,"Hontowane,",yangskinny,0.245,0.554,0.779,5.43e-06,11,0.116,-5.225,1,0.0487,102.123,4,201973,0.861
7LHAKF7pBqHch8o6Yo0ad5,Suzume,RADWIMPS,0.615,0.571,0.415,0,2,0.187,-6.572,0,0.0305,78.025,4,236391,0.342
3khEEPRyBeOUabbmOPJzAG,KICK BACK,Kenshi Yonezu,0.00207,0.577,0.941,3.36e-06,1,0.0891,-5.17,1,0.105,101.921,4,193495,0.292
0J0P8iSE6l3pYHbUdNFYdS,カメレオン,King Gnu,0.643,0.628,0.533,0,0,0.0733,-7.235,1,0.0417,79.953,4,193990,0.459
6z5zopmol2EeKDjeRH2QfM,恋風邪にのせて,Vaundy,6.4e-05,0.595,0.909,0.000355,6,0.387,-3.594,0,0.0341,118.021,4,255914,0.537
1BjNUu608nOEvEtMETFnlB,Cheers,MAISONdes,0.0437,0.626,0.784,2.07e-05,0,0.204,-4.587,1,0.0529,97.844,4,232867,0.705
4UALTBWz0OdQcjbTsjFceV,Cinderella Boy,Saucy Dog,0.0748,0.596,0.735,0,9,0.269,-6.362,1,0.0332,108.106,4,234324,0.524
2VRcLEvQCMByWBuvM9gaJ2,Oz.,yama,0.0422,0.403,0.723,7.48e-06,7,0.374,-4.609,1,0.0339,75.989,4,194274,0.441
3RFL9hE5cBocBsjD5XLJLQ,Mixed Nuts,OFFICIAL HIGE DANDISM,0.0101,0.542,0.918,0,6,0.259,-5.074,1,0.0937,150.094,4,213438,0.784
6T8eKlvqWuPKJT7euIqoxX,ミズキリ,Yuuri,0.163,0.446,0.706,0,1,0.11,-5.447,1,0.033,179.906,4,208400,0.445
3TxjMrMGWFP0jkIy0tVvVn,BADモード,Hikaru Utada,0.524,0.525,0.666,0.000137,5,0.0948,-8.399,1,0.0551,117.282,4,303219,0.466
3oQaOjaIYPsnJbGNzXcIID,BOY,King Gnu,0.0831,0.619,0.802,0,0,0.361,-6.618,1,0.0629,109.982,4,231386,0.535
1YvLvyEHEUv6xuablK3kpj,空と虚,sasanomaly,0.00483,0.669,0.751,0.0237,5,0.326,-5.447,0,0.0299,103.976,4,223846,0.833
6VwpOZpqx8IqoF201VGAp8,シャッター,Yuuri,0.511,0.606,0.525,0,5,0.33,-7.432,1,0.0356,74.979,4,247333,0.665
2hwcYq85TVuj6GhBBTuWdg,I Love...,OFFICIAL HIGE DANDISM,0.00938,0.546,0.663,0,9,0.178,-6.071,1,0.0536,171.698,4,282680,0.407
6NffEVuGbmTvIpfSS93aMU,地球儀,Aimer,0.0129,0.678,0.837,4.2e-05,1,0.0711,-5.367,1,0.0425,100.058,4,232787,0.916
0Qfp61Ixz6Keppfaki9IeV,Roar,KAT-TUN,0.0891,0.63,0.835,0,5,0.486,-4.018,0,0.046,124.054,4,235619,0.813
4uom3dNDDCN5KrI1pcQbuN,Curtain Call,Shota Shimizu,0.178,0.651,0.584,0,0,0.232,-6.036,1,0.035,85.015,4,266267,0.394
1kMlcLyljkrShV0LSdSGBz,Yesterday,OFFICIAL HIGE DANDISM,0.0442,0.541,0.8,0,6,0.398,-3.687,1,0.0382,129.939,4,299164,0.56
0Nn9gfz60CyzqnFXiAphMs,レーゾンデートル,Eve,8.95e-05,0.533,0.795,0,2,0.112,-3.319,0,0.044,152.078,4,222489,0.629
6gLIdsq5niNohbCT3LFT1Z,一寸の赤,yama,0.221,0.511,0.715,0,1,0.116,-6.635,1,0.0322,171.982,4,231673,0.516
278JqkBGkjDovOYAwE8TW7,115万キロのフィルム,OFFICIAL HIGE DANDISM,0.00345,0.516,0.791,0,3,0.141,-1.927,1,0.0318,96.921,4,324633,0.48
2RbVD1IgXtyQFlLtbthaZ3,"Stand by me, Stand by you.",HIRAIDAI,0.0892,0.594,0.568,0,3,0.0535,-5.423,1,0.0383,161.887,4,193013,0.58
2pfu1oCILxjP2ijdX6PDuJ,勘冴えて悔しいわ,ZUTOMAYO,0.238,0.641,0.932,2.41e-06,5,0.0772,-1.828,1,0.122,149.872,4,236027,0.782
3wJHCry960drNlAUGrJLmz,ただ君に晴れ,ヨルシカ,0.343,0.679,0.834,5.74e-06,5,0.119,-3.223,1,0.032,139.996,4,198971,0.962
4hNYc0PKLjCqrruSI9hUHw,Universe,OFFICIAL HIGE DANDISM,0.227,0.491,0.902,1.4e-05,1,0.131,-4.954,1,0.2,185.952,4,286093,0.59
7AIj86wFWqm7X1TZ2hzHwS,虹,SUDA MASAKI,0.071,0.548,0.6,0,5,0.192,-5.049,1,0.0297,143.961,4,258733,0.296
0NcKo2eMGsFWinUHR2gUuG,小さな丘の木の下で,HIRAIDAI,0.688,0.603,0.243,0,7,0.123,-7.003,1,0.0312,91.81,3,185486,0.653
797Vk2YjznpSZfslJURmaS,We'll be fine,ReN,0.199,0.716,0.687,0,0,0.0748,-7.023,1,0.0278,125.071,4,197043,0.639
5j7ixaLeGTGSv4DzKs0pCM,だから僕は音楽を辞めた,ヨルシカ,0.36,0.65,0.88,0.00369,4,0.23,-5.326,1,0.0283,124.985,4,242913,0.921
15WLZS3pvNj1grj8FsI1tv,Gravity,BUMP OF CHICKEN,0.0238,0.577,0.61,0,1,0.0773,-7.125,1,0.0371,79.996,4,308454,0.762
786dSB84yrSaICJwCT7VxP,香水,Eito,0.824,0.85,0.34,0,3,0.0882,-7.37,1,0.042,121.759,4,255227,0.774
2DwHI6gIvTHXNGmqDWGriw,秒針を噛む,ZUTOMAYO,0.0245,0.645,0.961,0,1,0.256,-3.227,0,0.07,129.9,4,259053,0.606
0XaHPBAzPAC5ubwcRBqc1p,Shukumei,OFFICIAL HIGE DANDISM,0.0152,0.547,0.577,0,5,0.109,-6.087,1,0.0336,164.032,4,280856,0.494
7lRCvofuqk5YZinCcxiYXK,雨とカプチーノ,ヨルシカ,0.35,0.485,0.781,0.000542,6,0.249,-5.755,1,0.0531,199.961,4,272293,0.745
28meruvcf9dzb7pVi2sRAu,さよならエレジー,SUDA MASAKI,0.00403,0.464,0.938,0,1,0.152,-2.633,1,0.052,154.962,4,258880,0.624
4RvXKXQGHCAXVfkk4QEJCa,蕾,GReeeeN,0.393,0.634,0.646,0,8,0.22,-3.912,1,0.0268,78.005,4,207360,0.616
2cTaSKEc8OZdF6Tpg2QQsS,Naked Heart,Aimyon,0.537,0.559,0.448,1.85e-05,8,0.0915,-4.11,1,0.0275,148.02,4,296653,0.354
0fFPF89LHrD2ziMbeLSxXy,心に穴が空いた,ヨルシカ,0.228,0.599,0.939,3.56e-05,6,0.0723,-4.387,1,0.05,99.97,4,264507,0.585
4CYCXlMgQxim1DQTnW5rb2,HIDE YOU feat.chelmico,Stamp,0.181,0.614,0.709,0,11,0.147,-6.039,1,0.296,205.941,4,249993,0.737
2ipT2ARpIKXR4mlS7JEZEN,月色ホライズン,[Alexandros],0.015,0.553,0.845,0,8,0.366,-3.977,1,0.049,128.064,4,281360,0.677
5YBRciOJeulSJakPqIiW96,クラッカー・シャドー,Kiro Akiyama,0.000541,0.635,0.869,6.38e-06,0,0.0912,-2.971,0,0.0753,122.041,4,275760,0.671
7a3LbQFgp7NCuNcGlTgSsN,忘れられないの,sakanaction,0.35,0.642,0.645,0.00349,6,0.191,-7.358,0,0.0375,172.1,4,238000,0.917
5XApCrSTIAPapBPT1Vo4SZ,藍二乗,ヨルシカ,0.0896,0.591,0.891,3.6e-05,6,0.209,-3.823,1,0.0526,105.045,4,248453,0.475
07uivRw9i8NFjQbxZQu6g7,ボイスメモ No. 5,CHANMINA,0.0795,0.736,0.666,1.89e-05,8,0.332,-4.503,1,0.0417,109.958,4,163040,0.22
3Ni2arQUKlivlxbp30x9KO,あまりにも素敵な夜だから,[Alexandros],0.0126,0.649,0.938,1.3e-06,8,0.215,-4.258,1,0.0722,117.885,4,237573,0.683
5nwb3UKxWWDTYgvbnLCCgU,Traffic Jam,SPiCYSOL,0.0304,0.708,0.832,0,0,0.277,-4.242,0,0.0703,121.022,4,221500,0.76
0oRe0ce8jFqL0S1Rl0Hawc,24-25,iri,0.0274,0.675,0.79,0,8,0.0489,-5.77,0,0.0457,90.003,4,236173,0.729
114GDozk3l0sNgKwzdGszX,不便な可愛げ feat. アイナ・ジ・エンド(BiSH),Genie High,0.291,0.715,0.763,0,1,0.131,-4.2,0,0.0427,135.964,4,243320,0.318
4xk70Qur2QeRmWIzWPC63V,踊り子,Vaundy,0.845,0.718,0.475,0.801,7,0.105,-11.469,1,0.0611,157.032,4,230110,0.678
4Jj31lihp5Nvdi4lFRjrqc,まちがいさがし,SUDA MASAKI,0.52,0.534,0.642,0,2,0.39,-5.568,1,0.0372,155.916,4,223640,0.443
2wrSQcRHBksoXNMn4lZNfv,ハゼ馳せる果てるまで,ZUTOMAYO,0.343,0.759,0.961,1.66e-06,7,0.0843,-2.663,0,0.11,135.936,4,244707,0.728
2R60VK2bw0erSEUeIpDnM8,Sentimental heart boy,Such,0.0199,0.629,0.958,1.57e-05,9,0.32,-2.162,0,0.156,160.045,4,218493,0.83
6HOTgamtYw499WiL2ujiS4,恋はキライだ,Sangatsu no Phantasia,0.00254,0.674,0.736,0.0834,11,0.273,-3.859,1,0.0341,121.945,4,214456,0.832
6CRX3ENpLq42r0iBSjOqr1,Grand Escape (feat. Toko Miura),RADWIMPS,0.243,0.566,0.534,8.28e-05,4,0.116,-7.414,1,0.0356,146.033,4,339160,0.4
7dJLRobSnGBar7G1YhsId9,Celebration (feat. Toko Miura),RADWIMPS,0.092,0.497,0.924,0,6,0.0993,-2.132,0,0.0655,151.997,4,274240,0.681
1IWIDiuMyqfPwin6QIPVqD,Shine On Me,Sakurako Ohara,0.102,0.666,0.909,0,1,0.0809,-4.229,0,0.0579,113.014,4,257747,0.576
0vNPq8QwWxOsgTRo7bhgyf,STORIES,fhána,0.0342,0.697,0.779,0.15,7,0.114,-7.097,1,0.0373,126.05,4,235333,0.523
02Q3hh1O8sw5WFWpT1Qvmm,癒えないキスをして*,ロイ-RöE-,0.302,0.841,0.667,0.00142,7,0.0578,-5.216,1,0.0326,120.032,4,228670,0.952
1FyKFxyw3pA93jV5JWTd3X,向日葵,manaco,0.0576,0.524,0.95,2.3e-06,9,0.0681,-3.117,1,0.0785,163.987,4,265640,0.554
1shwXh1gAaNxo8SOYkCN5I,トクベツ,manaco,0.0137,0.629,0.877,1.6e-06,6,0.104,-2.184,1,0.0413,142.0,4,227960,0.468
67J4qFRl712CGN11fq7CfT,サイレン,Sangatsu no Phantasia,0.0312,0.624,0.858,2.59e-05,4,0.307,-4.603,0,0.0505,140.083,4,225080,0.555
7AsU6IeHy3fS7kWSyMu9AR,青空なんて飛びたくなかった,熊川みゆ,0.911,0.53,0.348,0.000991,6,0.109,-8.674,1,0.0292,159.957,4,276247,0.444
5F0LuK8XTN28rrZ2NS4spe,MAKUAKE,eill,0.091,0.723,0.666,0,6,0.0884,-5.84,1,0.0526,125.941,4,217774,0.763
72jcudIsoInAkuDvREu7xJ,LEMONADE,I Don't Like Mondays.,0.0302,0.77,0.69,0,11,0.0634,-5.418,1,0.034,124.015,4,229213,0.922
35PraCsxRgIi9FEIVkbLVS,ZERO GRAVITY,I Don't Like Mondays.,0.206,0.791,0.614,0,11,0.15,-6.672,0,0.0371,123.055,4,257493,0.7
0AyERajyJfejXdw8DjslYp,CALL ME,I Don't Like Mondays.,0.752,0.682,0.451,0,3,0.0894,-9.195,1,0.0317,116.954,4,259706,0.354
5urE6pJ6lOVYzidvCFHmHz,no rain no rainbow,HY,0.332,0.635,0.889,0,0,0.0736,-2.019,1,0.0945,142.907,4,253467,0.777
1Z5mpuJhOSpN88g8hzFY9p,CAFUNE,Kano,0.0681,0.7,0.855,6.33e-06,7,0.0788,-5.948,0,0.0467,139.956,4,267227,0.835
0zyPsNt9twLcAmz5BGwPIS,Freaky boy,I Don't Like Mondays.,0.00493,0.734,0.808,0.000555,6,0.0754,-6.072,1,0.0606,127.028,4,234387,0.888
6FzNtQS3t80Obtzq84nUQp,A.M.D.K.J.,SCANDAL,8.42e-05,0.339,0.909,0.00105,8,0.369,-3.497,1,0.0584,179.936,4,216006,0.522
5oEKTqhYoG0diXTfa6RzQy,Phoenix,Da-iCE,0.0667,0.742,0.856,0,2,0.111,-3.217,1,0.13,126.025,4,208667,0.823
6Fv9M9nUKvuMD7roafIm8j,留学生,Monkey Majik,0.148,0.65,0.878,0,9,0.0499,-4.768,0,0.0451,120.001,4,214773,0.781
5dLOBttnHKhYdQh6uLRpu0,Amazing,OFFICIAL HIGE DANDISM,0.00656,0.618,0.86,0,7,0.357,-5.114,1,0.0457,133.967,4,231065,0.652
3ponIUc0NRnVtK3TfOQxTv,Bad for Me,OFFICIAL HIGE DANDISM,0.0153,0.497,0.8,0,3,0.253,-3.755,1,0.0299,167.073,4,235325,0.578
0VJjfALZ6SuIQumrTgF3tJ,Vintage,OFFICIAL HIGE DANDISM,0.204,0.449,0.819,0,2,0.289,-5.169,1,0.0513,180.019,4,252566,0.507
71DjRXqiEUcTC1vCToaHem,Prologue,美波,0.00113,0.347,0.944,0,2,0.373,-2.158,1,0.0771,173.012,4,330667,0.433
